Entity,Years,Records lost,Organisation,Method of Leak
Mutuelle Generale de la Police,12,112,healthcare,inside job
MyFitnessPal,14,"150,000",app,hacked
MySpace,12,"164,000",web,hacked
NASDAQ,10,500,financial,hacked
National Childbirth Trust,12,15,web,hacked
National Security Agency,9,"1,500",government,inside job
Neiman Marcus,10,"1,100",retail,hacked
Nemours Foundation,7,"1,055",healthcare,lost / stolen device or media
Network Solutions,5,573,tech,hacked
New York City Health & Hospitals Corp.,6,"1,700",healthcare,lost / stolen device or media
New York State Electric & Gas,8,"1,800",energy,inside job
New York Taxis,10,52,transport,poor security
Nexon Korea Corp,7,"13,200",web,hacked
NHS,7,"8,300",healthcare,lost / stolen media 
Nintendo,9,240,gaming,hacked
Nival,14,"1,500",web,hacked
NMBS,9,"1,460",transport,accidentally published
Norwegian Tax Authorities,4,"3,950",government,accidentally published
Office of the Texas Attorney General,8,"6,500",government,accidentally published
Ohio State University,6,760,academic,hacked
Orbitz,14,880,web,hacked
Oregon Department of Motor Vehicles,7,"1,000",government,hacked
Panerabread,14,"37,000",retail,poor security
PayAsUGym,13,300,web,hacked
Philippines Commission on Elections,12,"55,000",government,hacked
Premera,11,"11,000",healthcare,hacked
Premera Blue Cross,12,"11,000",web,hacked
Privatization Agency of the Republic of Serbia,12,"5,190",government,accidentally published
Puerto Rico Department of Health,6,515,healthcare,hacked
Quest Diagnostics,13,34,healthcare,hacked
RBS Worldpay,4,"1,500",financial,hacked
Red Cross Blood Service,13,550,healthcare,accidentally published
Restaurant Depot,7,200,retail,hacked
River City Media,13,"1,370,000",web,accidentally published
RockYou,5,"32,000",web,hacked
RootsWeb,11,300,web,poor security
Saks and Lord & Taylor,14,"5,000",retail,hacked
San Francisco Public Utilities Commission ,7,180,government,hacked
Sanrio,11,"3,300",web,poor security
Scribd,9,500,web,hacked
Seacoast Radiology,6,231,healthcare,hacked
Securus Technologies,11,"70,000",web,hacked
Sega,7,"1,291",gaming,hacked
UK Service Personnel and Veterans Agency ,4,51,government,lost / stolen device or media
Slack,11,500,tech,hacked
SnapChat,9,"4,700",tech,hacked
Snapchat,13,"1,700",app,hacked
Sony Online Entertainment,7,"24,600",gaming,hacked
Sony Pictures,7,"1,000",web,hacked
Sony Pictures,10,"10,000",media,hacked
Sony PSN,7,"77,000",gaming,hacked
South Africa police,9,16,government,hacked 
South Carolina Government,8,"6,400",healthcare,inside job
South Shore Hospital,6,800,healthcare,lost / stolen device or media
Southern California Medical Legal Consultants,7,300,healthcare,hacked
Spambot,14,"711,000",web,poor security
Spartanburg Regional Healthcare System,7,400,healthcare,lost / stolen device or media
ssndob.ms,9,"4,000",web,hacked
Stanford University,4,72,academic,lost / stolen device or media
Staples,10,"1,160",retail,hacked
Starbucks,4,97,retail,lost / stolen device or media
State of Texas,7,"3,500",government,accidentally published
Steam,7,"35,000",web,hacked
Stratfor,7,935,military,hacked
Sutter Medical Foundation,7,"4,243",healthcare,lost / stolen device or media
SVR Tracking,14,540,app,poor security
Swedish Transport Agency,14,"3,000",government,poor security
Syrian government,12,274,government,hacked
TalkTalk,11,157,web,hacked
Target,10,"70,000",retail,hacked
TD Ameritrade,3,"6,300",financial,hacked
Telegram ,13,"15,000",tech,hacked
TerraCom & YourTel,9,170,telecoms,accidentally published
Texas Lottery,3,89,government,inside job
Three,13,200,telecoms,hacked
Three Iranian banks,8,"3,000",financial,hacked
Tianya,7,"28,000",web,hacked
Time Warner Cable,12,320,web,unknown
TIO Networks,14,"1,600",financial,hacked
TJ Maxx,3,"94,000",retail,hacked
T-mobile,12,"15,000",web,hacked
T-Mobile,2,"17,000",telecoms,lost / stolen device or media
Tricare,7,"4,901",healthcare,lost / stolen device or media
Triple-S Salud,6,398,healthcare,lost / stolen device or media
Tumblr,9,"65,000",web,hacked
Turkish citizenship database,12,"49,612",government,hacked
Twitch.tv,10,"10,000",healthcare,hacked
Twitter,9,250,web,hacked 
Uber,11,50,tech,poor security
Uber,12,"57,000",app,hacked
Ubuntu,9,"2,000",tech,hacked
UK Home Office,4,84,government,lost / stolen device or media
UK Ministry of Defence,4,"1,700",government,lost / stolen device or media
UK Revenue & Customs,3,"25,000",government,lost / stolen device or media
University of California Berkeley,5,160,academic,hacked
University of Miami,4,"2,100",academic,lost / stolen device or media
University of Utah Hospitals And Clinics,4,"2,200",academic,lost / stolen device or media
University of Wisconsin ,7,73,academic,hacked
UPS,10,"4,000",retail,hacked
US Army,7,50,military,accidentally published
US Dept of Defense,5,72,military,lost / stolen device or media
US Dept of Vet Affairs,2,"26,500",government,lost / stolen device or media
US Federal Reserve Bank of Cleveland,6,400,financial,hacked
US Law Enforcement,7,123,government,hacked
US Military,5,"76,000",military,lost / stolen device or media
US Military,6,260,military,inside job
US National Guard,5,131,military,lost / stolen device or media
US Office of Personnel Management,11,"4,000",government,hacked
US Voter Database,12,"191,000",web,configuration error
uTorrent ,12,35,web,hacked
Verizon,12,100,web,hacked
Viacom,14,"3,000",web,hacked
Virginia Dept. Of Health,5,"8,257", healthcare,hacked
Virginia Prescription Monitoring Program,5,531,healthcare,hacked
VK,12,"100,545",web,hacked
Vodafone,9,"2,000",telecoms,inside job
VTech,11,"6,400",web,hacked
VTech,12,"11,000",web,poor security
Washington Post,7,"1,270",media,hacked
Washington State court system,9,160,government,hacked
Waterly,14,"1,000",app,poor security
Weebly,13,"43,000",web,hacked
Wendy's,12,1,retail,hacked
Wonga,13,270,financial,hacked
World Check,12,"2,200",media,poor security
Writerspace.com,7,62,web,hacked
Yahoo,8,450,web,hacked
Yahoo,9,"1,000,000",web,hacked
Yahoo,10,"500,000",web,hacked
Yahoo,13,"32,000",web,hacked
Yahoo Voices,8,450,web,hacked
Yale University,6,43,academic,accidentally published
Zappos,8,"24,000",web,hacked
Zomato,13,"17,000",web,hacked
